,latitude,longitude,number,time,step,surface,valid_time,lsm
6730,-25.0,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6731,-25.0,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6732,-25.0,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6854,-27.5,35.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6855,-27.5,37.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6856,-27.5,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6857,-27.5,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6858,-27.5,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6859,-27.5,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6860,-27.5,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6861,-27.5,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6862,-27.5,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6863,-27.5,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6864,-27.5,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6865,-27.5,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6866,-27.5,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6867,-27.5,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6868,-27.5,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6869,-27.5,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6870,-27.5,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6871,-27.5,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6872,-27.5,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6873,-27.5,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6874,-27.5,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6875,-27.5,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6876,-27.5,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6997,-30.0,32.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6998,-30.0,35.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6999,-30.0,37.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7000,-30.0,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7001,-30.0,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7002,-30.0,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7003,-30.0,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7004,-30.0,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7005,-30.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7006,-30.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7007,-30.0,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7008,-30.0,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7009,-30.0,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7010,-30.0,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7011,-30.0,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7012,-30.0,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7013,-30.0,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7014,-30.0,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7015,-30.0,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7016,-30.0,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7017,-30.0,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7018,-30.0,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7019,-30.0,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
7020,-30.0,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
